Maschine	KW Fertigung	Nr.	KW Lief.	Auftrag	ANr	AK	Name		Artikelnummer		Masche/Bemerkung	Menge	Stck Pal.	P-Länge	P-Breite	P-Höhe	P-Anzahl
Paletten	2623	16	2625	110084	0		Hellmann Poultry Gmb		PSC45-36-0996   /001			1	250	1350	1200	1050	1
Paletten	2623	17	2625	110084	0		Hellmann Poultry Gmb		PSC45-36-0997   /001			1	250	1200	950	870	1
Paletten	2623	20	2625	110095	0		Hellmann Poultry Gmb		PSC45-36-0416   /004			2	100	2420	1050	790	1
Paletten	2623	21	2623	110018	0		Hellmann Poultry Gmb		PSC45-36-0768   /003			2	400	1200	850	1360	1
Paletten	2623	21	2625	110038	0		Hellmann Poultry Gmb		PSC45-36-0996   /001			2	250	1350	1200	1050	1
Paletten	2623	22	2625	110038	0		Hellmann Poultry Gmb		PSC45-36-0997   /001			2	250	1200	950	870	1
Paletten	2623	25	2627	110106	0		Hellmann Poultry Gmb		PSC45-36-1013   /001			1	250	2450	900		1
Paletten	2623	26	2628	110108	0		Hellmann Poultry Gmb		PSC45-36-1013   /001			1	250	2450	900		1
Paletten	2623	27	2625	109754	8		Hellmann Poultry Gmb		PSC45-36-0597   /003			1	360	1200	1200	1460	1
Paletten	2623	28	2625	109754	8		Hellmann Poultry Gmb		PSC45-36-0598   /003			1	360	1200	1200	1460	1
Paletten	2623	29	2626	109754	10		Hellmann Poultry Gmb		PSC45-36-0597   /003			2	360	1200	1200	1460	1
Paletten	2623	30	2626	109754	10		Hellmann Poultry Gmb		PSC45-36-0598   /003			2	360	1200	1200	1460	1
Paletten	2623	31	2624	110158	0		Big Dutchman		PSC83-19-4034   /003			1	750	1200	750	950	1
Paletten	2623	33	2625	110164	0		VELUX Commercial Pro		PSV2440x1890    /001			1	100	2450	1900	400	1
Paletten	2623	34	2625	110164	0		VELUX Commercial Pro		PSV2440x1590    /001			3	100	2450	1600	400	1
Paletten	2623	35	2625	110164	0		VELUX Commercial Pro		PSV2040x1590    /001			1	100	2050	1600		1
Paletten	2623	37	2627	110155	0		Hellmann Poultry Gmb		PSC45-36-0207   /001			1	1250	1350	980	1200	1
Paletten	2623	38	2624	110206	0		Big Dutchman		PSC83-19-4034   /003			1	750	1200	750	950	1
Paletten	2623	39	2625	110200	0		Big Dutchman		PSC83-08-9645   /001			1	3000	1160	1190	940	1
Paletten	2623	40	2628	110246	0		Courth Edelstahl-App		PSE962x962      /001			1	50	1000	1000		1
Paletten	2623	41	2626	110262	0		Sennrich AG		GIDRAX1026x1340 /001			3	38	1155	1350	1030	1
Paletten	2624	1	2627	109614	0		Big Dutchman		PSC83-51-4801   /001			2	50	1200	450	280	1
Paletten	2624	2	2627	109848	1		Big Dutchman		PSC83-01-2361   /002			3	360	1200	830	1460	1
Paletten	2624	3	2627	109848	2		Big Dutchman		PSC83-01-2361   /002			3	360	1200	830	1460	1
