rubrik_id (englischer Name);rubrikname (deutscher Name);pfad
1354;Ösmaschinen;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Ösmaschinen
644;Druckluftbehälter;Drucklufttechnik / Druckluftbehälter
651;Druckluftwerkzeuge;Drucklufttechnik / Druckluftwerkzeuge
645;Filter;Drucklufttechnik / Filter
1553;Atemluftkompressoren;Drucklufttechnik / Kompressoren / Atemluftkompressoren
1550;Kolbenkompressoren;Drucklufttechnik / Kompressoren / Kolbenkompressoren
1552;Rotationskompressoren;Drucklufttechnik / Kompressoren / Rotationskompressoren
1551;Schraubenkompressoren;Drucklufttechnik / Kompressoren / Schraubenkompressoren
1554;Zubehör & Ersatzteile für Kompressoren;Drucklufttechnik / Kompressoren / Zubehör & Ersatzteile für Kompressoren
647;Kühler;Drucklufttechnik / Kühler
761;Motoren;Drucklufttechnik / Motoren
648;Pumpen;Drucklufttechnik / Pumpen
762;Regler;Drucklufttechnik / Regler
693;Sonstige Drucklufttechnik;Drucklufttechnik / Sonstige Drucklufttechnik
649;Trockner;Drucklufttechnik / Trockner
650;Zubehör & Ersatzteile Drucklufttechnik;Drucklufttechnik / Zubehör & Ersatzteile Drucklufttechnik
53;Akku-Ladegeräte;Elektrowerkzeuge / Akku-Ladegeräte
52;Druckluftwerkzeuge;Elektrowerkzeuge / Druckluftwerkzeuge
50;Elektrofräsen;Elektrowerkzeuge / Elektrofräsen
47;Elektrosauger;Elektrowerkzeuge / Elektrosauger
45;Elektroschleifer;Elektrowerkzeuge / Elektroschleifer
44;Elektrosägen;Elektrowerkzeuge / Elektrosägen
54;Handbohrmaschinen & Akkuschrauber;Elektrowerkzeuge / Handbohrmaschinen & Akkuschrauber
49;Handhobelmaschinen;Elektrowerkzeuge / Handhobelmaschinen
55;Kleben, Wärmen, Schweißen & Löten;Elektrowerkzeuge / Kleben, Wärmen, Schweißen & Löten
48;Oberflächenbearbeitung;Elektrowerkzeuge / Oberflächenbearbeitung
51;Rührwerkzeuge;Elektrowerkzeuge / Rührwerkzeuge
46;Schneidwerkzeuge;Elektrowerkzeuge / Schneidwerkzeuge
678;Sonstige Elektrowerkzeuge;Elektrowerkzeuge / Sonstige Elektrowerkzeuge
2496;Batteriespeicher;Energietechnik / Batteriespeicher
2471;Biogasanlagen;Energietechnik / Biogasanlagen
56;Blockheizkraftwerke;Energietechnik / Blockheizkraftwerke
57;Dampfkessel;Energietechnik / Dampfkessel
58;Dampfturbinen;Energietechnik / Dampfturbinen
59;Dieselaggregate;Energietechnik / Dieselaggregate
60;Druckluft;Energietechnik / Druckluft
65;Ersatzteile, Komponenten & Zubehör für Energietechnik;Energietechnik / Ersatzteile, Komponenten & Zubehör für Energietechnik
61;Gastechnik;Energietechnik / Gastechnik
62;Generatoren;Energietechnik / Generatoren
63;Heizungen & Gebläse;Energietechnik / Heizungen & Gebläse
64;Kälteanlagen;Energietechnik / Kälteanlagen
66;Notstromaggregate;Energietechnik / Notstromaggregate
67;Photovoltaik Module;Energietechnik / Photovoltaik Module
2501;Photovoltaik Wechselrichter;Energietechnik / Photovoltaik Wechselrichter
68;Schaltanlagen & Schaltkomponenten;Energietechnik / Schaltanlagen & Schaltkomponenten
671;Sonstige Energietechnik;Energietechnik / Sonstige Energietechnik
69;Stromerzeuger;Energietechnik / Stromerzeuger
70;Transformatoren;Energietechnik / Transformatoren
782;Unterbrechungsfreie Stromversorgung (USV);Energietechnik / Unterbrechungsfreie Stromversorgung (USV)
72;Wasserkraftanlagen;Energietechnik / Wasserkraftanlagen
73;Windkraftanlagen;Energietechnik / Windkraftanlagen
2491;Wärmepumpen;Energietechnik / Wärmepumpen
71;Wärmetauscher;Energietechnik / Wärmetauscher
363;Elektromotoren;Fördertechnik & Antriebstechnik / Elektromotoren
364;Förderanlagen;Fördertechnik & Antriebstechnik / Förderanlagen
365;Förderbänder;Fördertechnik & Antriebstechnik / Förderbänder
367;Hubtische;Fördertechnik & Antriebstechnik / Hubtische
366;Hubwagen;Fördertechnik & Antriebstechnik / Hubwagen
368;Kettenzüge & Hebetechnik;Fördertechnik & Antriebstechnik / Kettenzüge & Hebetechnik
369;Magnete;Fördertechnik & Antriebstechnik / Magnete
370;Pumpen;Fördertechnik & Antriebstechnik / Pumpen
371;Rollenbahnen;Fördertechnik & Antriebstechnik / Rollenbahnen
372;Scherentische;Fördertechnik & Antriebstechnik / Scherentische
373;Schüttgüterförderer;Fördertechnik & Antriebstechnik / Schüttgüterförderer
674;Sonstige Fördertechnik & Antriebstechnik;Fördertechnik & Antriebstechnik / Sonstige Fördertechnik & Antriebstechnik
374;Vibratoren;Fördertechnik & Antriebstechnik / Vibratoren
514;Glasbohrmaschinen;Glasbearbeitung & Keramikbearbeitung / Glasbohrmaschinen
515;Glasformgebungsmaschinen;Glasbearbeitung & Keramikbearbeitung / Glasformgebungsmaschinen
516;Glashärteöfen;Glasbearbeitung & Keramikbearbeitung / Glashärteöfen
